head,variant,site,role,anchor,mode,mean,family_sd,family_min,family_max,families,events,positive_family_fraction
L12H2,base,earlier,source,first,output,-0.00245815900732447,0.017942737860519208,-0.03689145190375192,0.027174989796347086,20,947,0.4
L12H2,base,earlier,source,last,raw,-0.000921328493488713,0.005585866515033233,-0.011192230300770864,0.009313396171287255,20,947,0.5
L12H2,base,earlier,source,last,output,0.003107006883633935,0.017067174685039793,-0.027699721654256187,0.027565351430920586,20,947,0.65
L12H2,base,final,source,first,raw,-0.0026905516783396403,0.005216715122307732,-0.012986501057942709,0.012083689371744791,20,40,0.3
L12H2,base,final,source,first,output,-0.0006479546427726745,0.01741106915403574,-0.035472869873046875,0.03524525960286458,20,40,0.55
L12H2,base,final,source,last,raw,-0.0022153774897257484,0.00797999787803654,-0.012843449910481771,0.014364878336588543,20,40,0.4
L12H2,base,final,source,last,output,0.0016729195912679033,0.015100998021012405,-0.031102498372395836,0.029263814290364582,20,40,0.5
L12H2,base,final,target,first,raw,-0.0010600904623667396,0.00583275102434256,-0.011524836222330729,0.010846455891927084,20,40,0.45
L12H2,base,final,target,first,output,-0.00012912948926289866,0.013200072169373038,-0.03710714975992838,0.02138841152191162,20,40,0.5
L12H2,base,final,target,last,raw,-0.00154863993326823,0.006923013191190562,-0.01891009012858073,0.009217580159505207,20,40,0.4
L12H2,base,final,target,last,output,0.0006804466247558596,0.010827522394280751,-0.014210383097330729,0.026693344116210938,20,40,0.45
L13H1,base,earlier,target,first,raw,-4.827649064129331e-05,0.004573893837294819,-0.008860527783974835,0.007614956162441736,20,1193,0.55
L13H1,base,earlier,target,first,output,-0.0005917241505651156,0.011490774119317579,-0.027139370552977625,0.01900533424026665,20,1193,0.55
L13H1,base,earlier,target,last,raw,-0.0021691287913219144,0.006159399382581382,-0.015105803156159616,0.007951985423763594,20,1193,0.4
L13H1,base,earlier,target,last,output,0.0021705185997745505,0.008563881580859186,-0.01126007718601446,0.017759639057305345,20,1193,0.5
L13H1,base,earlier,source,first,raw,0.0005945479485666961,0.004660459269723897,-0.010955263773600262,0.008910694828739872,20,947,0.5
L13H1,base,earlier,source,first,output,0.0026319777981684924,0.01430331963484899,-0.028627530480107514,0.028975972230883613,20,947,0.6
L13H1,base,earlier,source,last,raw,0.002405599678357982,0.007115993930376613,-0.009245865874820286,0.017836627033021715,20,947,0.6
L13H1,base,earlier,source,last,output,-0.005472342730447508,0.010989093365560377,-0.02991209859433382,0.008769247842871624,20,947,0.3
L13H1,base,final,source,first,raw,-0.0030056575934092203,0.005184719165802919,-0.01534875233968099,0.005559007326761882,20,40,0.3
