head,variant,site,metric,mean,family_sd,family_min,family_max,families,events,positive_family_fraction
L2H21,base,final,distractor_target_first,0.006303845319780521,0.004018015733898106,0.002958683471661061,0.02154516362740348,20,120,1.0
L2H21,base,final,distractor_target_last,0.005209724272814735,0.0037765916070003026,0.0014766205470853795,0.016953970422036946,20,120,1.0
L2H21,base,final,relevant_source_mass,0.007508775120368227,0.00295687030682843,0.003648634534329176,0.014042642433196306,20,40,1.0
L2H21,base,final,relevant_source_first,0.003441067674430087,0.0021158774982544424,0.0010859218309633434,0.010325325652956963,20,40,1.0
L2H21,base,final,relevant_source_last,0.0037131475211936047,0.002475063586980964,0.0007174515340011567,0.008531130151823163,20,40,1.0
L2H21,base,final,relevant_target_mass,0.015466799633577466,0.005075638123624878,0.006934835808351636,0.02542804181575775,20,40,1.0
L2H21,base,final,relevant_target_first,0.005390240141423419,0.0017134235383672186,0.002554893959313631,0.008338624611496925,20,40,1.0
L2H21,base,final,relevant_target_last,0.004482820491830353,0.004180050455427512,0.0010423574422020465,0.01933099888265133,20,40,1.0
L4H0,base,earlier,self,0.013533992977349843,0.013740831781387923,0.0027689669296538637,0.061820943952030076,20,2096,1.0
L4H0,base,earlier,previous,0.0028522753223666894,0.00156061760878461,0.0012771880526270252,0.008064126499868087,20,2096,1.0
L4H0,base,earlier,distractor_target_mass,0.005309665978896134,0.0036412484708497647,0.0020758305189753266,0.015159408031744032,20,4413,1.0
L4H0,base,earlier,distractor_target_first,0.0006211693523746802,0.00016259516774170326,0.00045028024285949706,0.0011928708633301237,20,4413,1.0
L4H0,base,earlier,distractor_target_last,0.0035060018333889394,0.0031936328275560134,0.0011464457968392084,0.012969865657020097,20,4413,1.0
L4H0,base,earlier,distractor_source_mass,0.004261391727650304,0.0030879460520914655,0.0013723983460970754,0.013806436337529312,20,3633,1.0
L4H0,base,earlier,distractor_source_first,0.0005590591788732488,0.00011108124964293226,0.00037747538624092526,0.0008274702214815109,20,3633,1.0
L4H0,base,earlier,distractor_source_last,0.0026631850989969827,0.002490149232740107,0.0006767672409815188,0.011191396347807029,20,3633,1.0
L4H0,base,earlier,relevant_target_mass,0.004824547819710985,0.00391592197096268,0.001792494104564434,0.01645927161684838,20,1193,1.0
